Alabama,204201
Alaska,50542
Arizona,304357
Arkansas,121275
California,2619639
Colorado,323762
Connecticut,257038
Delaware,70927
Florida,930375
Georgia,532657
Hawaii,84904
Idaho,68616
Illinois,796906
Indiana,345207
Iowa,186200
Kansas,154806
Kentucky,195527
Louisiana,237598
Maine,59475
Maryland,380805
Massachusetts,505689
Michigan,486874
Minnesota,338746
Mississippi,109034
Missouri,297074
Montana,46478
Nebraska,118945
Nevada,148216
New Hampshire,77843
New Jersey,576228
New Mexico,93242
New York,1500152
North Carolina,518378
North Dakota,53328
Ohio,624372
Oklahoma,181480
Oregon,227032
Pennsylvania,723962
Rhode Island,57507
South Carolina,210876
South Dakota,48652
Tennessee,332094
Texas,1601517
Utah,157404
Vermont,31292
Virginia,491221
Washington,476934
West Virginia,72569
Wisconsin,314247
Wyoming,37925
